"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DYHF","DYTS","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72493023230","2015-12-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","29","45","0.00",,"+0.01","8","54","30.22","FEW:02 70","30.12","10.00","38","100",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10012/01/15 00:53:02 METAR KOAK 010853Z 10008KT 10SM FEW070 07/M02 A3022 RMK AO2 SLP232 T00721017 58005","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","29","44","0.00",,,,"55","30.22","CLR:00","30.13","10.00","38","130",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09112/01/15 01:53:02 METAR KOAK 010953Z 13006KT 10SM CLR 07/M02 A3023 RMK AO2 SLP234 T00671017","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","29","43","0.00",,,,"58","30.21","CLR:00","30.12","10.00","37","120",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09112/01/15 02:53:02 METAR KOAK 011053Z 12005KT 10SM CLR 06/M02 A3022 RMK AO2 SLP231 T00611017","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","29","43","0.00",,"-0.00","0","58","30.22","BKN:07 200","30.12","10.00","37","120",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11212/01/15 03:53:01 METAR KOAK 011153Z 12004KT 10SM BKN200 06/M02 A3022 RMK AO2 SLP232 T00611017 10089 20061 50000","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","28","42","0.00",,,,"58","30.22","BKN:07 200","30.12","10.00","36","110",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09412/01/15 04:53:02 METAR KOAK 011253Z 11003KT 10SM BKN200 06/M02 A3022 RMK AO2 SLP234 T00561022","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","29","45","0.00",,,,"54","30.23","BKN:07 200","30.13","10.00","38","120",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09412/01/15 05:53:01 METAR KOAK 011353Z 12008KT 10SM BKN200 07/M02 A3023 RMK AO2 SLP236 T00721017","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","28","45","0.00",,"-0.01","3","52","30.23","FEW:02 20 FEW:02 200","30.14","10.00","38","110",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10712/01/15 06:53:01 METAR KOAK 011453Z 11007KT 10SM FEW020 FEW200 07/M02 A3024 RMK AO2 SLP238 T00721022 53005","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.25","31","45","0.00",,,,"58","30.24","FEW:02 20 SCT:04 200","30.15","10.00","39","120",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10112/01/15 07:53:01 METAR KOAK 011553Z 12006KT 10SM FEW020 SCT200 07/M01 A3025 RMK AO2 SLP242 T00721006","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T08:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.25","30","50","0.00",,,,"46","30.24","FEW:02 200","30.15","10.00","42","110",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09412/01/15 08:53:02 METAR KOAK 011653Z 11005KT 10SM FEW200 10/M01 A3025 RMK AO2 SLP242 T01001011","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72493023230","2015-12-01T09:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","33","50","0.00",,"-0.02","1","52","30.26","FEW:02 200","30.16","10.00","43","200",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11112/01/15 09:53:02 METAR KOAK 011753Z 20006KT 10SM FEW200 10/01 A3026 RMK AO2 SLP246 T01000006 10111 20039 51008","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
